time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
2400,-0.00001,0,-0.00001,0,0,-0.00001,-0.00001,0.00001,1
2401,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2402,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2403,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2404,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2405,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2406,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2407,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2408,-0.00001,-0.00002,0,-0.00001,-0.00001,-0.00001,-0.00003,-0.00002,1
2409,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2410,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2411,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2412,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2413,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2414,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2415,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2416,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2417,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2418,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2419,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2420,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
2421,-0.00001,0,0.00001,0.00002,0.00001,-0.00001,0.00001,0,1
